district,areas,location
1,Marina Area,"Boat Quay, Chinatown, Havelock Road, Marina Square, Raffles Place, Suntec City"
2,CBD,"Anson Road, Chinatown, Neil Road, Raffles Place, Shenton Way, Tanjong Pagar"
3,Central South,"Alexandra Road, Tiong Bahru, Queenstown"
4,Keppel,"Keppel, Mount Faber, Sentosa, Telok Blangah"
5,South West,"Buona Vista, Dover, Pasir Panjang, West Coast"
6,City Hall,"City Hall, High Street, North Bridge Road"
7,Beach Road,"Beach Road, Bencoolen Road, Bugis, Rochor"
8,Little India,"Little India, Farrer Park, Serangoon Road"
9,Orchard,"Cairnhill, Killiney, Leonie Hill, Orchard, Oxley"
10,Tanglin,"Balmoral, Bukit Timah, Grange Road, Holland, Orchard Boulevard, River Valley, Tanglin Road"
11,Newton,"Chancery, Bukit Timah, Dunearn Road, Newton"
12,Toa Payoh,"Balestier, Moulmein, Novena, Toa Payoh"
13,Central East,"Potong Pasir, Macpherson"
14,Eunos,"Eunos, Geylang, Kembangan, Paya Lebar"
15,East Coast,"Katong, Marine Parade, Siglap, Tanjong Rhu"
21,Central West,"Clementi, Upper Bukit Timah, Hume Avenue"
16,Upper East Coast,"Bayshore, Bedok, Chai Chee"
17,Far East,"Changi, Loyang, Pasir Ris"
18,Tampines,"Pasir Ris, Simei, Tampines"
19,North East,"Hougang, Punggol, Sengkang"
20,Ang Mo Kio,"Ang Mo Kio, Bishan, Braddell Road, Thomson"
28,North East,"Seletar, Yio Chu Kang"
22,Far West,"Boon Lay, Jurong, Tuas"
23,North West,"Bukit Batok, Choa Chu Kang, Hillview Avenue, Upper Bukit Timah"
24,Far North West,"Kranji, Lim Chu Kang, Sungei Gedong, Tengah"
25,Far North,"Admiralty, Woodlands"
26,North,"Tagore, Yio Chu Kang"
27,Far North,"Admiralty, Sembawang, Yishun"